ingest_date,ingest_ts,category,keyword,interest_score,interest_score_prev_day,interest_delta,interest_avg_7d,interest_peak_7d,is_rising,rising_query,rising_score,related_topics_json,_raw_json
2026-07-07,2026-07-07T17:04:18.279350,dog_food,dog food,54,53,0,54,100,0,,0,{},"{""current_1d"": 53, ""prior_1d"": 53, ""avg_7d"": 54, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 38}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 19}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 44}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 38}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 43}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 43}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 59}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 46}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 63}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 54}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 64}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 56}]}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,waggies dog food,0,0,0,0,0,1,waggies dog food,16500,{},"{""query"": ""waggies dog food"", ""value"": 16500}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,taste of the wild dog food,0,0,0,0,0,1,taste of the wild dog food,180,{},"{""query"": ""taste of the wild dog food"", ""value"": 180}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,henlo dog food,0,0,0,0,0,1,henlo dog food,140,{},"{""query"": ""henlo dog food"", ""value"": 140}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,lets bite dog food,0,0,0,0,0,1,lets bite dog food,140,{},"{""query"": ""lets bite dog food"", ""value"": 140}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,royal kennel dog food,0,0,0,0,0,1,royal kennel dog food,110,{},"{""query"": ""royal kennel dog food"", ""value"": 110}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,purepet dog food review,0,0,0,0,0,1,purepet dog food review,100,{},"{""query"": ""purepet dog food review"", ""value"": 100}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,dog food online 20kg,0,0,0,0,0,1,dog food online 20kg,70,{},"{""query"": ""dog food online 20kg"", ""value"": 70}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,puppy food,29,33,-8,29,100,0,,0,{},"{""current_1d"": 25, ""prior_1d"": 33, ""avg_7d"": 29, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 0}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 0}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 0}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 0}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 34}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 27}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 35}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 40}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 46}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 38}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 0}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 0}]}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,pedigree dog food,2,7,-7,2,100,0,,0,{},"{""current_1d"": 0, ""prior_1d"": 7, ""avg_7d"": 2, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 0}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 0}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 0}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 0}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 0}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 0}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 0}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 0}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 0}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 0}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 0}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 0}]}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,royal canin dog,4,8,-4,4,100,0,,0,{},"{""current_1d"": 4, ""prior_1d"": 8, ""avg_7d"": 4, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 0}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 0}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 0}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 0}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 0}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 0}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 0}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 0}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 44}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 0}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 0}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 0}]}"
2026-07-07,2026-07-07T17:04:18.279350,dog_food,drools dog food,1,0,3,1,100,0,,0,{},"{""current_1d"": 3, ""prior_1d"": 0, ""avg_7d"": 1, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 0}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 0}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 0}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 0}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 0}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 0}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 0}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 0}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 0}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 0}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 0}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 0}]}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,cat food,49,49,-4,49,100,0,,0,{},"{""current_1d"": 45, ""prior_1d"": 49, ""avg_7d"": 49, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 32}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 17}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 29}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 31}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 48}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 40}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 34}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 43}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 45}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 40}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 49}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 53}]}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,me-o cat food,0,0,0,0,0,1,me-o cat food,90,{},"{""query"": ""me-o cat food"", ""value"": 90}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,bellota cat food,0,0,0,0,0,1,bellota cat food,80,{},"{""query"": ""bellota cat food"", ""value"": 80}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,lets bite cat food,0,0,0,0,0,1,lets bite cat food,70,{},"{""query"": ""lets bite cat food"", ""value"": 70}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,applaws cat food,0,0,0,0,0,1,applaws cat food,70,{},"{""query"": ""applaws cat food"", ""value"": 70}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,clumsy bumsy cat food,0,0,0,0,0,1,clumsy bumsy cat food,60,{},"{""query"": ""clumsy bumsy cat food"", ""value"": 60}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,cat litter sand,0,0,0,0,0,1,cat litter sand,60,{},"{""query"": ""cat litter sand"", ""value"": 60}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,apro cat food,0,0,0,0,0,1,apro cat food,50,{},"{""query"": ""apro cat food"", ""value"": 50}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,kitekat cat food,0,0,0,0,0,1,kitekat cat food,50,{},"{""query"": ""kitekat cat food"", ""value"": 50}"
2026-07-07,2026-07-07T17:04:18.279350,cat_food,kitten food,12,12,-1,12,100,0,,0,{},"{""current_1d"": 11, ""prior_1d"": 12, ""avg_7d"": 12, ""peak_7d"": 100, ""n_points"": 169, ""points"": [{""time"": ""1783382400"", ""date"": ""6 Jul 2026 at 18:30"", ""value"": 0}, {""time"": ""1783386000"", ""date"": ""6 Jul 2026 at 19:30"", ""value"": 28}, {""time"": ""1783389600"", ""date"": ""6 Jul 2026 at 20:30"", ""value"": 0}, {""time"": ""1783393200"", ""date"": ""6 Jul 2026 at 21:30"", ""value"": 0}, {""time"": ""1783396800"", ""date"": ""6 Jul 2026 at 22:30"", ""value"": 16}, {""time"": ""1783400400"", ""date"": ""6 Jul 2026 at 23:30"", ""value"": 14}, {""time"": ""1783404000"", ""date"": ""7 Jul 2026 at 00:30"", ""value"": 19}, {""time"": ""1783407600"", ""date"": ""7 Jul 2026 at 01:30"", ""value"": 12}, {""time"": ""1783411200"", ""date"": ""7 Jul 2026 at 02:30"", ""value"": 22}, {""time"": ""1783414800"", ""date"": ""7 Jul 2026 at 03:30"", ""value"": 0}, {""time"": ""1783418400"", ""date"": ""7 Jul 2026 at 04:30"", ""value"": 16}, {""time"": ""1783422000"", ""date"": ""7 Jul 2026 at 05:30"", ""value"": 0}]}"
