ingest_date,ingest_ts,source,source_market,marketplace,category,rank_position,is_mover_shaker,asin,product_title,brand,price,currency,rating,review_count,product_url,image_url,fetch_method,compliance_status
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,1,0,B09K8YYVWV,"Blue Buffalo Life Protection Formula Chicken & Brown Rice Adult Dry Dog Food, Supports Immunity with Antioxidant-Rich LifeSou",Blue,0.0,USD,4.7,29341,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Natural/dp/B09K8YYVWV/ref=zg_bs_g_2975359011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81x68cxW9UL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,2,0,B009IOCCD2,Purina ONE Dry Dog Food Lamb and Rice Formula - 31.1 lb. Bag,Purina,0.0,USD,4.6,15626,https://www.amazon.com/Purina-ONE-Food-Lamb-Formula/dp/B009IOCCD2/ref=zg_bs_g_2975359011_d_sccl_2/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81xFEOR9B1L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,3,0,B001QCKS4O,Purina Pro Plan Complete Essentials Shredded Blend Chicken and Rice Dog Food Dry Formula with Probiotics for Dogs - 35 lb. Ba,Purina,0.0,USD,4.6,16778,https://www.amazon.com/Purina-Pro-Plan-Shredded-Chicken/dp/B001QCKS4O/ref=zg_bs_g_2975359011_d_sccl_3/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81UaJzjkUVL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,4,0,B071J1BFTX,"Cesar Wet Dog Food Classic Loaf in Sauce Grilled Chicken, Filet Mignon, Porterhouse Steak, Beef, Chicken & Liver and Turkey V",Cesar,0.0,USD,4.7,4730,https://www.amazon.com/Cesar-Classics-Adult-Variety-Ounces/dp/B071J1BFTX/ref=zg_bs_g_2975359011_d_sccl_4/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/815umyp16mL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,5,0,B003CL3PTM,"Hill's Science Diet Adult 1-6 Small & Mini Dry Dog Food, Chicken & Brown Rice, 4.5 lb. Bag",Hill's,0.0,USD,4.8,26081,https://www.amazon.com/HillS-Science-Diet-Chicken-Recipe/dp/B003CL3PTM/ref=zg_bs_g_2975359011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/811D-qkHlyL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,6,0,B000NVBVD6,"Stella & Chewy's Freeze-Dried Raw Chicken Meal Mixers- Dog Food Topper and Mixer - Made with 95% Cage-Free Chicken, Organs &",Stella,0.0,USD,4.6,8110,https://www.amazon.com/Stella-ChewyS-Freeze-Dried-Chicken-Grain-Free/dp/B000NVBVD6/ref=zg_bs_g_2975359011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/819U+2EgScL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,7,0,B09K9FDLFN,"Blue Buffalo Life Protection Formula Chicken & Brown Rice Small Breed Adult Dry Dog Food, Supports Immunity with Antioxidant-",Blue,0.0,USD,4.7,20147,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Natural/dp/B09K9FDLFN/ref=zg_bs_g_2975359011_d_sccl_7/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81nH5-m0yPL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,8,0,B08294GHXY,"Pedigree Choice Cuts in Gravy Wet Dog Food, Adult Soft Wet Dog Food, Variety Pack, 3.5 oz. Pouches, 30 Count",Pedigree,0.0,USD,4.7,24084,https://www.amazon.com/Pedigree-Choice-30-Count-Variety-Pouches/dp/B08294GHXY/ref=zg_bs_g_2975359011_d_sccl_8/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71g0u5lrsrL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,9,0,B09RPL4Z4J,"Pedigree Adult Dry Dog Food, Complete Nutrition, Grilled Steak & Vegetable Flavor, 18 lb. Bag",Pedigree,0.0,USD,4.7,8887,https://www.amazon.com/PEDIGREE-Complete-Nutrition-Grilled-Vegetable/dp/B09RPL4Z4J/ref=zg_bs_g_2975359011_d_sccl_9/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81y+guqTGxL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,10,0,B01EY9KQ2Y,"Purina Pro Plan Sensitive Skin and Stomach Dog Food Dry, Adult Salmon & Rice Formula, Digestive Health - 30 lb. Bag",Purina,0.0,USD,4.6,24565,https://www.amazon.com/Purina-Pro-Plan-Sensitive-Stomach/dp/B01EY9KQ2Y/ref=zg_bs_g_2975359011_d_sccl_10/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81v4zW-9XRL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,11,0,B003MGAIDI,"Hill's Science Diet Adult Sensitive Stomach & Skin Dry Dog Food, Chicken, 30 lb. Bag | #1 Veterinarian Recommended, Adult For",Hill's,0.0,USD,4.7,20047,https://www.amazon.com/Science-Diet-Sensitive-Stomach-Chicken/dp/B003MGAIDI/ref=zg_bs_g_2975359011_d_sccl_11/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81dCzA6NXxL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,12,0,B000SSXDBM,"Pedigree Wet Dog Food, Choice Cuts Adult Canned Dog Food, Beef & Country Stew Multipack, 13.2 oz. Cans (12 Count, Pack of 1)",Pedigree,0.0,USD,4.7,7948,https://www.amazon.com/Pedigree-Choice-Country-Canned-Variety/dp/B000SSXDBM/ref=zg_bs_g_2975359011_d_sccl_12/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71F5DI4KgBL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,13,0,B0158VAVBS,Stella & Chewy's Freeze-Dried Raw Dinner Patties - Beef Recipe - High Protein Grain-Free Puppy & Dog Food - Perfect For Picky,Stella,0.0,USD,4.6,4032,https://www.amazon.com/Stella-Freeze-Dried-StellaS-Patties-Grain-Free/dp/B0158VAVBS/ref=zg_bs_g_2975359011_d_sccl_13/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/613+6gefzFL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,14,0,B079FHJMMG,"Diamond Naturals Skin & Coat Real Salmon and Potato Recipe Dry Dog Food with Quality Protein, Omega Fatty Acids, Probiotics a",Diamond,0.0,USD,4.6,12025,https://www.amazon.com/Diamond-Naturals-Recipe-Natural-Caught/dp/B079FHJMMG/ref=zg_bs_g_2975359011_d_sccl_14/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71dqcKUwfeL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,15,0,B08S7QQXCX,"Beneful Purina Small Breed Wet Dog Food Variety Pack, IncrediBites With Real Beef, Chicken and Salmon - (Pack of 30) 3 Oz. Ca",Purina,0.0,USD,4.7,15100,https://www.amazon.com/Purina-Beneful-Variety-IncrediBites-Chicken/dp/B08S7QQXCX/ref=zg_bs_g_2975359011_d_sccl_15/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/91M-JyI-8sL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,16,0,B00BD741WM,"IAMS Proactive Health Adult Minichunks Premium Dry Dog Food, Adult Dog Food Dry Recipe, 30 lb. Bag",IAMS,0.0,USD,4.7,31882,https://www.amazon.com/IAMS-Proactive-Health-Minichunks-Chicken/dp/B00BD741WM/ref=zg_bs_g_2975359011_d_sccl_16/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81UBnDbTfuL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,17,0,B004INAQVI,Purina ONE Classic Ground Chicken and Brown Rice Entree Adult Wet Dog Food - (Pack of 12) 13 oz. Cans,Purina,0.0,USD,4.6,4556,https://www.amazon.com/Purina-Smartblend-Natural-Classic-Chicken/dp/B004INAQVI/ref=zg_bs_g_2975359011_d_sccl_17/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71bQpsVmIhL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,18,0,B0BMDXQ4FF,"Blue Buffalo Homestyle Recipe Wet Dog Food Paté Variety Pack, Chicken Dinner & Beef Dinner with Garden Vegetables, Made with",Blue,0.0,USD,4.6,3204,https://www.amazon.com/Blue-Buffalo-Homestyle-Chicken-Variety/dp/B0BMDXQ4FF/ref=zg_bs_g_2975359011_d_sccl_18/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81HwL8z2B-L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,19,0,B006JCUGVQ,Purina ONE Chicken and Rice Formula Dry Dog Food - 16.5 lb. Bag,Purina,0.0,USD,4.7,11078,https://www.amazon.com/Purina-Smartblend-Natural-Chicken-Formula/dp/B006JCUGVQ/ref=zg_bs_g_2975359011_d_sccl_19/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81AY3ua-tPL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,20,0,B000634174,"Hill's Science Diet Adult 1-6 Small Bites Dry Dog Food, Chicken & Barley, 5 lb. Bag",Hill's,0.0,USD,4.8,14095,https://www.amazon.com/Science-Diet-Advanced-Fitness-Chicken/dp/B000634174/ref=zg_bs_g_2975359011_d_sccl_20/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81HF-CK1NBL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,21,0,B00HHN04KE,"Purina Pro Plan Small Breed Dog Food With Probiotics for Dogs, Shredded Blend Chicken & Rice Formula - 6 lb. Bag",Purina,0.0,USD,4.7,15799,https://www.amazon.com/Purina-Pro-Plan-Shredded-Formula/dp/B00HHN04KE/ref=zg_bs_g_2975359011_d_sccl_21/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71SUX69jZbS._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,22,0,B00DE7WHLQ,Purina ONE True Instinct With A Blend Of Real Turkey and Venison Dry Dog Food - 7.4 lb. Bag,Purina,0.0,USD,4.6,18182,https://www.amazon.com/Purina-Smartblend-Instinct-Natural-Venison/dp/B00DE7WHLQ/ref=zg_bs_g_2975359011_d_sccl_22/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71jv64UY1EL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,23,0,B0CW23GFSG,BADLANDS RANCH by Katherine Heigl – Superfood Complete Air-Dried Beef Dog Food – High Protein with Superfoods for Daily Welln,BADLANDS,0.0,USD,4.3,3978,https://www.amazon.com/BADLANDS-RANCH-Katherine-Superfood-Air-Dried/dp/B0CW23GFSG/ref=zg_bs_g_2975359011_d_sccl_23/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81OQtkKX91L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,24,0,B07MF5YGT1,"Hill's Science Diet Adult Sensitive Stomach & Skin Wet Dog Food, Turkey & Rice, 12.5 oz. Cans, 12-Pack",Hill's,0.0,USD,4.6,5707,https://www.amazon.com/Hills-Science-Diet-Sensitive-Stomach/dp/B07MF5YGT1/ref=zg_bs_g_2975359011_d_sccl_24/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81lPFKgeqrL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,25,0,B0CYJFHJX4,"ULTIMATE PET NUTRITION Nutra Complete, 100% Freeze Dried Raw Veterinarian Formulated Dog Food with Antioxidants Prebiotics an",ULTIMATE,0.0,USD,4.4,2604,https://www.amazon.com/ULTIMATE-PET-NUTRITION-Veterinarian-Antioxidants/dp/B0CYJFHJX4/ref=zg_bs_g_2975359011_d_sccl_25/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61DmuAUkWGL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
2026-07-08,2026-07-08T16:22:57.236973,amazon_us,US,us,Dog Food,26,0,B07L97GQW5,"Taste of the Wild High Prairie Canine Grain-Free Recipe with Roasted Bison and Venison Adult Dry Dog Food, Made with High Pro",Taste,0.0,USD,4.6,12863,https://www.amazon.com/Taste-Wild-Protein-Prairie-Premium/dp/B07L97GQW5/ref=zg_bs_g_2975359011_d_sccl_26/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71RhgGnb4sL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login
