ingest_date,ingest_ts,source,source_market,rank_position,keyword,category,product_id,product_title,brand,price,currency,sold_count,video_count,creator_count,engagement_count,rating,review_count,product_url,image_url,fetch_method,compliance_status
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,1,calming pet bed,beds_accessories,tt_us_012,Calming Donut Dog Bed - Anti Anxiety Plush,Best Friends,29.99,USD,31200,5100,720,88000,4.7,15600,https://www.tiktok.com/shop/pdp/calming-donut-bed/012,https://placehold.co/300x300/fdf2f8/db2777?text=Donut+Bed,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,2,cat food tiktok shop,cat_food,tt_us_010,Tofu Cat Litter Natural Clumping 6lb,Tofu Cat,19.99,USD,25600,4200,610,95000,4.6,11200,https://www.tiktok.com/shop/pdp/tofu-cat-litter/010,https://placehold.co/300x300/f5f5f4/57534e?text=Tofu+Litter,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,3,freeze dried dog treats,dog_food,tt_us_015,Pedigree Dentastix Daily Dental Dog Treats,Pedigree,14.99,USD,20100,2200,310,42000,4.5,9800,https://www.tiktok.com/shop/pdp/pedigree-dentastix/015,https://placehold.co/300x300/fffbeb/d97706?text=Dentastix,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,4,pet grooming glove,grooming,tt_us_008,Furminator Undercoat Deshedding Tool for Dogs,FURminator,34.99,USD,18900,1500,290,38000,4.8,12500,https://www.tiktok.com/shop/pdp/furminator-deshedding/008,https://placehold.co/300x300/f1f5f9/475569?text=Furminator,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,5,cat treats viral,cat_food,tt_us_011,Whiskas Temptations Cat Treats Variety Pack,Whiskas,12.49,USD,14300,980,165,21000,4.5,6700,https://www.tiktok.com/shop/pdp/whiskas-temptations/011,https://placehold.co/300x300/fff7ed/b45309?text=Whiskas,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,6,freeze dried dog treats,dog_food,tt_us_001,Pupford Freeze Dried Training Treats for Dogs - Chicken,Pupford,24.99,USD,12400,890,142,18500,4.8,3200,https://www.tiktok.com/shop/pdp/pupford-freeze-dried-training-treats/001,https://placehold.co/300x300/fef3c7/b45309?text=Pupford,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,7,pet supplement tiktok,health_wellness,tt_us_013,Zesty Paws Allergy Immune Bites for Dogs,Zesty Paws,32.99,USD,11800,890,134,17500,4.6,5400,https://www.tiktok.com/shop/pdp/zesty-paws-allergy/013,https://placehold.co/300x300/ecfdf5/047857?text=Zesty+Paws,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,8,interactive cat toy,cat_toys,tt_us_007,SmartyKat Electronic Motion Cat Toy,SmartyKat,18.99,USD,9800,780,115,16000,4.3,2800,https://www.tiktok.com/shop/pdp/smartykat-motion-toy/007,https://placehold.co/300x300/fef9c3/ca8a04?text=Cat+Toy,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,9,cat water fountain,beds_accessories,tt_us_002,PetSafe Drinkwell Platinum Cat Water Fountain,PetSafe,49.99,USD,8700,620,98,14200,4.6,2100,https://www.tiktok.com/shop/pdp/petsafe-drinkwell-fountain/002,https://placehold.co/300x300/e0f2fe/1d4ed8?text=Fountain,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,10,retractable dog leash,collars_leashes,tt_us_014,Flexi Neon Retractable Dog Leash 16ft,Flexi,27.99,USD,7600,410,65,8900,4.4,3200,https://www.tiktok.com/shop/pdp/flexi-neon-leash/014,https://placehold.co/300x300/f0f9ff/0369a1?text=Flexi,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,11,dog food viral,dog_food,tt_us_009,Open Farm Grain Free Dry Dog Food - Wild-Caught Salmon,Open Farm,59.99,USD,6400,520,88,9200,4.7,1500,https://www.tiktok.com/shop/pdp/open-farm-salmon/009,https://placehold.co/300x300/ecfeff/0e7490?text=Open+Farm,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,12,cat litter box viral,beds_accessories,tt_us_003,Meowant Self-Cleaning Cat Litter Box XL,MeoWant,299.0,USD,5600,1100,210,28000,4.5,980,https://www.tiktok.com/shop/pdp/meowant-litter-box/003,https://placehold.co/300x300/f3f4f6/374151?text=Litter+Box,csv_import,licensed_or_manual_export
2026-07-08,2026-07-08T16:22:57.268166,tiktok_shop_us,US,13,pet supplement tiktok,health_wellness,tt_us_005,Basepaws Cat DNA Test Kit,Basepaws,129.0,USD,3200,450,72,6800,4.4,620,https://www.tiktok.com/shop/pdp/basepaws-dna/005,https://placehold.co/300x300/ede9fe/5b21b6?text=DNA+Kit,csv_import,licensed_or_manual_export
