snapshot_date,source,product_id,product_title,brand,mapped_india_category,india_category_relevance,india_availability,global_opportunity_bucket,global_opportunity_score,reason
2026-07-09,amazon_us,B072DTFZHL,"Sheba Perfect Portions Wet Cat Food Cuts in Gravy, Cat Food Wet Recipe, Roasted Chicken Entree, with Sustainable Salmon, Tend",sheba,cat_food,1.0,True,already_available_in_india,93.12,Brand 'sheba' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B07F45GGPT,"MeoHui Cat Toys for Indoor Cats, Interactive Cat Toy 2PCS Retractable Wand Toy and 9PCS Cat Feather Toys Refills, Funny Kitte",me-o,cat_toys,1.0,True,already_available_in_india,92.82,Brand 'me-o' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B0056EAKUA,"Virbac EPIOTIC® Advanced Ear Cleanser | Powerful and Gentle Cleanser For Dogs and Cats of all ages, 4 oz",virbac,health_wellness,1.0,True,already_available_in_india,92.13,Brand 'virbac' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B007JXVR76,"Meow Mix Original Choice Dry Cat Food, 6.3 Pound Bag",me-o,cat_food,1.0,True,already_available_in_india,91.14,Brand 'me-o' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B0B2NKLVCS,"FUKUMARU Cat Scratcher, 26.8 Inch L Shape Cat Scratch Pad Wall Mounted, Cat Scratching Cardboard with Ball Toy for Indoor Cat",fukumaru,beds_accessories,1.0,True,already_available_in_india,89.56,Brand 'fukumaru' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B0B9QSQP5Q,"Cat Hairball Remedy Treats - Dual Texture Crunchy Creamy Hairball Treatment for Cats, Furball Relief Control Supplement with",cat,health_wellness,1.0,True,already_available_in_india,87.35,Brand 'cat' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B08294GHXY,"Pedigree Choice Cuts in Gravy Wet Dog Food, Adult Soft Wet Dog Food, Variety Pack, 3.5 oz. Pouches, 30 Count",pedigree,dog_food,1.0,True,already_available_in_india,86.19,Brand 'pedigree' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B09K8YYVWV,"Blue Buffalo Life Protection Formula Chicken & Brown Rice Adult Dry Dog Food, Supports Immunity with Antioxidant-Rich LifeSou",blue,dog_food,1.0,False,not_yet_available_in_india,85.62,Category 'dog_food' already sold in India; brand 'blue' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B001650NNW,"Purina Pro Plan Veterinary Supplements FortiFlora Probiotic Powder for Dogs, Daily Support for Digestive and Immune Health an",purina,health_wellness,1.0,False,not_yet_available_in_india,85.62,Category 'health_wellness' already sold in India; brand 'purina' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B001650OE0,Pro Plan Veterinary Diets FortiFlora Daily Probiotic Powder Supplement for Cats with Digestive Support and Immune System for,pro,health_wellness,1.0,False,not_yet_available_in_india,85.62,Category 'health_wellness' already sold in India; brand 'pro' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B07NHL31CC,"Earth Rated Pet Wipes for Dogs and Cats, Hypoallergenic, 3-in-1 Cleaning, Deodorizing and Hydrating, for Grooming Paws, Body",earth,grooming,1.0,False,not_yet_available_in_india,85.32,Category 'grooming' already sold in India; brand 'earth' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B09D7DWTVB,"KSIIA Washable Dog Bed Deluxe Plush Dog Crate Beds Comfy Kennel Pad Anti-Slip Pet Sleeping Mat for Large, Jumbo, Medium, Smal",ksiia,beds_accessories,1.0,False,not_yet_available_in_india,85.32,Category 'beds_accessories' already sold in India; brand 'ksiia' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0921RR2Y5,MECOOL Cat Scratching Post Premium Basics Kitten Scratcher Sisal Scratch Posts with Hanging Ball 22in for Kittens or Smaller,mecool,beds_accessories,1.0,False,not_yet_available_in_india,85.32,Category 'beds_accessories' already sold in India; brand 'mecool' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B08CCG96FR,"Best Pet Supplies Voyager Step-in Air Harness - All Weather Mesh, Reflective, No Pull Harness for Dogs, Cats - Secure with Ho",best,collars_leashes,1.0,False,not_yet_available_in_india,85.32,Category 'collars_leashes' already sold in India; brand 'best' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B09RPL4Z4J,"Pedigree Adult Dry Dog Food, Complete Nutrition, Grilled Steak & Vegetable Flavor, 18 lb. Bag",pedigree,dog_food,1.0,True,already_available_in_india,85.2,Brand 'pedigree' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
