snapshot_date,source,source_market,product_id,product_title,brand,species,category,rank_position,price,currency,rating,review_count,sold_count,video_count,creator_count,engagement_score,source_url,image_url,fetch_method,compliance_status,computed_ts,global_signal_score,signal_basis,rank_position_global
2026-07-09,amazon_us,US,B09K8YYVWV,"Blue Buffalo Life Protection Formula Chicken & Brown Rice Adult Dry Dog Food, Supports Immunity with Antioxidant-Rich LifeSou",blue,dog,dog_food,1,,USD,4.7,29341,,,,,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Natural/dp/B09K8YYVWV/ref=zg_bs_g_2975359011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81x68cxW9UL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.53,rank+rating (no price on amazon.com list page),1
2026-07-09,amazon_us,US,B072DTFZHL,"Sheba Perfect Portions Wet Cat Food Cuts in Gravy, Cat Food Wet Recipe, Roasted Chicken Entree, with Sustainable Salmon, Tend",sheba,cat,cat_food,1,,USD,4.7,20862,,,,,https://www.amazon.com/Sheba-Portions-Wet-Food-Twin-Pack/dp/B072DTFZHL/ref=zg_bs_g_2975265011_d_sccl_2/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81wMxPo0TlL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.53,rank+rating (no price on amazon.com list page),2
2026-07-09,amazon_us,US,B001650NNW,"Purina Pro Plan Veterinary Supplements FortiFlora Probiotic Powder for Dogs, Daily Support for Digestive and Immune Health an",purina,dog,health_wellness,1,30.99,USD,4.7,48954,,,,,https://www.amazon.com/Purina-Veterinary-Fortiflora-Nutritional-Supplement/dp/B001650NNW/ref=zg_bs_g_2975377011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71l8QTg+aoL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.53,rank+rating (no price on amazon.com list page),3
2026-07-09,amazon_us,US,B001650OE0,Pro Plan Veterinary Diets FortiFlora Daily Probiotic Powder Supplement for Cats with Digestive Support and Immune System for,pro,cat,health_wellness,1,30.99,USD,4.7,20070,,,,,https://www.amazon.com/Purina-Veterinary-Fortiflora-Nutritional-Supplement/dp/B001650OE0/ref=zg_bs_g_2975276011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71qtZPpwBZL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.53,rank+rating (no price on amazon.com list page),4
2026-07-09,amazon_us,US,B07F45GGPT,"MeoHui Cat Toys for Indoor Cats, Interactive Cat Toy 2PCS Retractable Wand Toy and 9PCS Cat Feather Toys Refills, Funny Kitte",me-o,cat,cat_toys,1,9.78,USD,4.6,48966,,,,,https://www.amazon.com/Feather-Retractable-Assorted-Interactive-Exerciser/dp/B07F45GGPT/ref=zg_bs_g_2975303011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/615Ccf+wziL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.04,rank+rating (no price on amazon.com list page),5
2026-07-09,amazon_us,US,B07NHL31CC,"Earth Rated Pet Wipes for Dogs and Cats, Hypoallergenic, 3-in-1 Cleaning, Deodorizing and Hydrating, for Grooming Paws, Body",earth,both,grooming,1,9.98,USD,4.6,67370,,,,,https://www.amazon.com/Earth-Rated-USDA-Certified-Hypoallergenic/dp/B07NHL31CC/ref=zg_bs_g_2975362011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71f0WMXb8bL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.04,rank+rating (no price on amazon.com list page),6
2026-07-09,amazon_us,US,B09D7DWTVB,"KSIIA Washable Dog Bed Deluxe Plush Dog Crate Beds Comfy Kennel Pad Anti-Slip Pet Sleeping Mat for Large, Jumbo, Medium, Smal",ksiia,dog,beds_accessories,1,27.99,USD,4.6,32714,,,,,https://www.amazon.com/Washable-Deluxe-Fulffy-Anti-Slip-Sleeping/dp/B09D7DWTVB/ref=zg_bs_g_2975326011_d_sccl_2/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71cgXdW0WqL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.04,rank+rating (no price on amazon.com list page),7
2026-07-09,amazon_us,US,B0921RR2Y5,MECOOL Cat Scratching Post Premium Basics Kitten Scratcher Sisal Scratch Posts with Hanging Ball 22in for Kittens or Smaller,mecool,cat,beds_accessories,1,16.98,USD,4.6,15131,,,,,https://www.amazon.com/MECOOL-Scratching-Premium-Scratcher-Scratch/dp/B0921RR2Y5/ref=zg_bs_g_2975243011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61GKar3CjTS._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.04,rank+rating (no price on amazon.com list page),8
2026-07-09,amazon_us,US,B08CCG96FR,"Best Pet Supplies Voyager Step-in Air Harness - All Weather Mesh, Reflective, No Pull Harness for Dogs, Cats - Secure with Ho",best,both,collars_leashes,1,10.99,USD,4.6,69681,,,,,https://www.amazon.com/Best-Pet-Supplies-Voyager-Harness/dp/B08CCG96FR/ref=zg_bs_g_2975339011_d_sccl_1/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81vE3wSyceL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,88.04,rank+rating (no price on amazon.com list page),9
2026-07-09,amazon_us,US,B001STX13U,Purina Fancy Feast Grilled Wet Cat Food Seafood Collection in Wet Cat Food Variety Pack - (Pack of 24) 3 oz. Cans,fancy feast,cat,cat_food,2,,USD,4.7,47111,,,,,https://www.amazon.com/Purina-Fancy-Feast-Grilled-Collection/dp/B001STX13U/ref=zg_bs_g_2975265011_d_sccl_3/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81K7YvcfLpL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,86.88,rank+rating (no price on amazon.com list page),10
