source_category,unified_category,unified_subcategory
"Pet Supplies > Dog Food","Food","Dog Food"
"Pet Supplies > Cat Food","Food","Cat Food"
"Pet Supplies > Pet Treats","Food","Dog Treats"
"Pet Supplies > Cat Treats","Food","Cat Treats"
"Pet Supplies > Dog Toys","Toys","Dog Toys"
"Pet Supplies > Cat Toys","Toys","Cat Toys"
"Pet Supplies > Bird Toys","Toys","Bird Toys"
"Pet Supplies > Grooming > Shampoos","Grooming","Shampoos"
"Pet Supplies > Grooming > Brushes","Grooming","Brushes"
"Pet Supplies > Grooming > Clippers","Grooming","Clippers"
"Pet Supplies > Grooming > Nail Clippers","Grooming","Nail Clippers"
"Pet Supplies > Grooming > Wipes","Grooming","Wipes"
"Pet Supplies > Beds & Furniture > Beds","Beds & Accessories","Beds"
"Pet Supplies > Beds & Furniture > Crates","Beds & Accessories","Crates"
"Pet Supplies > Beds & Furniture > Carriers","Beds & Accessories","Carriers"
"Pet Supplies > Beds & Furniture > Sofas","Beds & Accessories","Sofas"
"Pet Supplies > Health & Wellness > Supplements","Health & Wellness","Supplements"
"Pet Supplies > Health & Wellness > Medications","Health & Wellness","Medications"
"Pet Supplies > Health & Wellness > Dental Care","Health & Wellness","Dental Care"
"Pet Supplies > Collars, Leashes & Harnesses","Collars & Leashes","Collars"
"Pet Supplies > Collars, Leashes & Harnesses","Collars & Leashes","Leashes"
"Pet Supplies > Collars, Leashes & Harnesses","Collars & Leashes","Harnesses"
"Pet Supplies > Training & Behavior","Training","Training Aids"
"Pet Supplies > Clothing & Apparel","Apparel","Clothing"
"Pet Supplies > Bowls & Feeders","Feeding","Bowls"
"Pet Supplies > Carriers & Travel","Travel","Carriers"
